organization,program,program_type,source,issue_flags,website,apply_url,review_notes
Deep Science Ventures,Deep Science Ventures (AI/science),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://deepscienceventures.com/portfolio,,
Denarii,Denarii,accelerator,excel_accelerators,org_equals_program,https://www.denariilabs.xyz,https://airtable.com/app249gcLcaJF4qvj/page3HaBQAelT3whO/form,
Entrepreneur First,Entrepreneur First,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.joinef.com/,,resolved from official Entrepreneur First site
EWOR,EWOR (European AI),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.ewor.io/portfolio,,
Fast Forward,"Fast Forward (Impact AI, non-dilutive)",accelerator,excel_accelerators,missing_apply_url_for_cohort,https://ffwd.org/portfolio,,
FastTrack AI Accelerator,FastTrack AI Accelerator (Vietnam/global GenAI),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://genaifund.ai/fasttrack-ai-accelerator/,,
Forum Ventures,Forum Ventures (B2B AI/SaaS),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://forumvc.com/portfolio,,
Founders Factory,Founders Factory (AI co-creation),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://foundersfactory.com/portfolio,,
"Founders, Inc.","Founders, Inc. Investment",vc_fund,excel_vc,org_trailing_dot,https://www.f.inc,,
Gener8tor,Gener8tor (AI cohorts),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.gener8tor.com/portfolio,,
Google for Startups,Google for Startups,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://startup.google.com/programs/accelerator/,,
Google.org Accelerator,Google.org Accelerator: Generative AI,accelerator,excel_accelerators,missing_apply_url_for_cohort,https://Google.org,,
HF0,HF0 Residency,accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.hf0.com/,,normalized HF0 spelling from official domain
Hyperledger,Grant for the Web,grant,excel_grants,org_slug_like,https://grantfortheweb.org,,
IBM Alpha Zone,IBM Alpha Zone,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.ibm.com/startups,,
Imagine H2O,Imagine H2O,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.imagineh2o.org/portfolio,,
Intel Ignite,Intel Ignite,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.intelignite.com/portfolio,,
LAUNCH Accelerator,LAUNCH Accelerator,accelerator,excel_accelerators,org_equals_program,https://launchaccelerator.co/jason,https://launchaccelerator.co/jason,resolved from official LAUNCH Accelerator page
LumiterraGame,LumiterraGame Ecosystem Grants,grant,excel_grants,org_slug_like,https://lumiterra.game,,
MassChallenge,MassChallenge (AI tracks),accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_slug_like",https://masschallenge.org/portfolio,,
MetaGammaDelta,MetaGammaDelta Grants,grant,folk_companies,org_slug_like,https://metagammadelta.com/grants/,,
Microsoft for Startups,Microsoft for Startups (AI focus),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.microsoft.com/en-us/startups,,
Mucker Capital,Mucker Capital (AI growth),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.mucker.com/portfolio,,
NEO,NEO,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://neo.com/accelerator,,
Next AI,Next AI (Canada AI),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://nextai.com/portfolio,,
NSF SBIR/STTR AI,NSF SBIR/STTR AI Grants,accelerator,excel_accelerators,missing_apply_url_for_cohort,https://seedfund.nsf.gov/topics/artificial-intelligence/,,
NumbersProtocol,NumbersProtocol Google Grant,grant,excel_grants,org_slug_like,https://numbersprotocol.io,,
NVIDIA Inception,NVIDIA Inception (GPU/AI infra),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.nvidia.com/en-us/startups/inception/,,
OpenAI Startup Fund,Converge,accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.openai.fund/,,normalized organization and program naming from OpenAI fund surface
OrangeDAO,OrangeDAO,accelerator,excel_accelerators,org_equals_program,https://refer.orangedao.xyz/berk,https://refer.orangedao.xyz/berk,normalized organization casing from official domain
PearX,PearX,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://pear.vc/pearx/,,
PearX,PearX (AI-enabled),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://pear.vc/pearx/,,
Pi Campus,Pi Campus (European AI),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://picampus.it/portfolio,,
Pioneer,Pioneer,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://pioneer.app/,,
Plug and Play Tech Center,Plug and Play AI,accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.plugandplaytechcenter.com/ai,,normalized organization name from official domain
PoolTogether,PoolGrants,grant,folk_companies,org_slug_like,https://poolgrants.org/,,
Seedcamp,Seedcamp,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://seedcamp.com/,,
Soma Capital,Soma Capital,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://somacap.com/,,
SOSV,SOSV (Deeptech AI),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://sosv.com/portfolio/,,
South Park Commons,South Park Commons,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.southparkcommons.com/founder-fellowship,,
South Park Commons,South Park Commons (AI fellowship),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.southparkcommons.com/founder-fellowship,,
SPC Founder Fellowship Spring 2026,SPC Founder Fellowship Spring 2026,accelerator,excel_accelerators,org_equals_program,https://airtable.com/appxDXHfPCZvb75qk/pagOboNVU8MPyDJ8b/form,https://airtable.com/appxDXHfPCZvb75qk/pagOboNVU8MPyDJ8b/form,
Stanford Blockchain Accelerator Cohort 8 Application,Stanford Blockchain Accelerator Cohort 8 Application,accelerator,excel_accelerators,org_equals_program,https://forms.gle/DBEg8xjgtLiAufE57,https://forms.gle/DBEg8xjgtLiAufE57,
starknet,starknet,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_all_lowercase,org_equals_program",https://www.starknet.io/grants/growth-grants/,,
Startup Wise Guys,Startup Wise Guys,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://startupwiseguys.com/,,
Startupbootcamp AI,Startupbootcamp AI,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.startupbootcamp.org/ai,,
StartX,StartX (Stanford AI),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://startx.com/portfolio,,
Substrate.io,Substrate Builders Program,grant,folk_companies,org_slug_like,https://substrate.io/ecosystem/substrate-builders-program/,,
Superscrypt,Superscrypt Investment,vc_fund,excel_vc,org_slug_like,https://superscrypt.xyz,,
TBV,TBV,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.tbv.xyz/fund/brent,,
Techstars,Techstars,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.techstars.com/accelerators/anywhere,,
Techstars AI,Techstars AI (Montreal-based),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.techstars.com/accelerators/ai,,
Tenity,Tenity (Fintech AI),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.tenity.com/portfolio,,
The Hive,The Hive (Data/AI),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://thehive.ai/portfolio,,
The House Fund AI,The House Fund AI Accelerator,accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.thehouse.fund/ai-accelerator,,
TinySeed,TinySeed (AI SaaS),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://tinyseed.com/portfolio,,
Y Combinator,Y Combinator,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.ycombinator.com/,,
Y Combinator,Y Combinator (AI-heavy batches),accelerator,excel_accelerators,missing_apply_url_for_cohort,https://www.ycombinator.com/companies,,
YZi Labs,YZi Labs,accelerator,excel_accelerators,"missing_apply_url_for_cohort,org_equals_program",https://www.bnbchain.org/en/blog/1b-builder-fund-to-empower-builders-backed-by-yzi-labs-and-bnb-chain,,
