organization,program,program_type,source,status_note,date_note,funding_range,max_amount,website,apply_url,industry_category,sector_tags,description,review_required,review_notes
Databricks AI,Databricks AI Accelerator,accelerator,excel_accelerators,,,,,https://www.databricks.com/kr/databricks-ventures,https://databricks.sjc1.qualtrics.com/jfe/form/SV_0Txabk3ctqWgFdY?utm_source=databricks&amp%3Butm_medium=website&amp%3Butm_campaign=startup-page,,,,no,
Deep Science Ventures,Deep Science Ventures (AI/science),accelerator,excel_accelerators,,,,,https://deepscienceventures.com/portfolio,,,,,no,
Denarii,Denarii,accelerator,excel_accelerators,추천제출,,,,https://www.denariilabs.xyz,https://airtable.com/app249gcLcaJF4qvj/page3HaBQAelT3whO/form,Web3,,Focus: Web3,no,
embed.conviction,embed.conviction,accelerator,excel_accelerators,진행중,,"$25만 투자, 무상한, 할인 없음 MFN SAFE, 또는 지난 60일 이내에 라운드와 동일한 가격
AWS 크레딧 350만 달러, Azure 크레딧 35만 달러, 기타 컴퓨팅/추론/호스팅 크레딧 50만 달러 이상: OpenAI, Anthropic, Baseten, Pinecone, Vercel 및 Weights & Biases
미스트랄 모델에 대한 조기 액세스
한 달 동안의 연속 입학
10-12개 회사의 클래스 규모, 매우 선택적(첫 번째 배치에서 1% 미만 선택)",,https://embed.conviction,,Web2,,Focus: Web2,no,
EWOR,EWOR (European AI),accelerator,excel_accelerators,,,,,https://www.ewor.io/portfolio,,,,,no,
Fast Forward,"Fast Forward (Impact AI, non-dilutive)",accelerator,excel_accelerators,,,,,https://ffwd.org/portfolio,,,,,no,
FastTrack AI Accelerator,FastTrack AI Accelerator (Vietnam/global GenAI),accelerator,excel_accelerators,,,,,https://genaifund.ai/fasttrack-ai-accelerator/,,,,,no,
firstround,firstround,accelerator,excel_accelerators,진행중,,,,https://www.firstround.com/,,Web2,,Focus: Web2,no,
Forum Ventures,Forum Ventures (B2B AI/SaaS),accelerator,excel_accelerators,,,,,https://forumvc.com/portfolio,,,,,no,
Founders Factory,Founders Factory (AI co-creation),accelerator,excel_accelerators,,,,,https://foundersfactory.com/portfolio,,,,,no,
Gener8tor,Gener8tor (AI cohorts),accelerator,excel_accelerators,,,,,https://www.gener8tor.com/portfolio,,,,,no,
Google for Startups,Google for Startups,accelerator,excel_accelerators,진행중,,up to $100k,,https://startup.google.com/programs/accelerator/,,Web2,,Focus: Web2,no,
Google.org Accelerator,Google.org Accelerator: Generative AI,accelerator,excel_accelerators,,,,,https://Google.org,,,,,no,
Greylock Edge,Greylock Edge,accelerator,excel_accelerators,25년 마감,,SAFE note + $500k+ in credits,,https://greylock.com/edge/,,Web2,,Focus: Web2,no,
HFO,HFO Residency,accelerator,excel_accelerators,26년 예정,,$1M uncapped for 5% or $500k uncapped + 3%,,https://www.hf0.com/,,Web2,,Focus: Web2,no,
IBM Alpha Zone,IBM Alpha Zone,accelerator,excel_accelerators,,,,,https://www.ibm.com/startups,,,,,no,
Imagine H2O,Imagine H2O,accelerator,excel_accelerators,,,,,https://www.imagineh2o.org/portfolio,,,,,no,
Intel Ignite,Intel Ignite,accelerator,excel_accelerators,,,,,https://www.intelignite.com/portfolio,,,,,no,
MassChallenge,MassChallenge (AI tracks),accelerator,excel_accelerators,,,,,https://masschallenge.org/portfolio,,,,,no,
Microsoft for Startups,Microsoft for Startups (AI focus),accelerator,excel_accelerators,,,,,https://www.microsoft.com/en-us/startups,,,,,no,
Monad,Monad,accelerator,excel_accelerators,진행중,,,,https://momentum.monad.xyz/,,Web3,,Focus: Web3 | Result: 다음기회에..,no,
Mucker Capital,Mucker Capital (AI growth),accelerator,excel_accelerators,,,,,https://www.mucker.com/portfolio,,,,,no,
NEO,NEO,accelerator,excel_accelerators,진행중,,$600k via uncapped SAFE with $10M floor valuation,,https://neo.com/accelerator,,Web2,,Focus: Web2,no,
Next AI,Next AI (Canada AI),accelerator,excel_accelerators,,,,,https://nextai.com/portfolio,,,,,no,
NSF SBIR/STTR AI,NSF SBIR/STTR AI Grants,accelerator,excel_accelerators,,,,,https://seedfund.nsf.gov/topics/artificial-intelligence/,,,,,no,
NVIDIA Inception,NVIDIA Inception (GPU/AI infra),accelerator,excel_accelerators,,,,,https://www.nvidia.com/en-us/startups/inception/,,,,,no,
OpenAI Converge,OpenAI Converge,accelerator,excel_accelerators,진행중,,$1M equity investment,,https://www.openai.fund/,,Web2,,Focus: Web2,no,
OrangeDao,OrangeDao,accelerator,excel_accelerators,추천제출,,,,https://refer.orangedao.xyz/berk,,Web3,,Focus: Web3,no,
PearX,PearX,accelerator,excel_accelerators,진행중,,$250k–$2M,,https://pear.vc/pearx/,,Web2,,Focus: Web2,no,
PearX,PearX (AI-enabled),accelerator,excel_accelerators,,,,,https://pear.vc/pearx/,,,,,no,
Pi Campus,Pi Campus (European AI),accelerator,excel_accelerators,,,,,https://picampus.it/portfolio,,,,,no,
Pioneer,Pioneer,accelerator,excel_accelerators,마감,,$20k for 1%,,https://pioneer.app/,,Web2,,Focus: Web2,no,
Seedcamp,Seedcamp,accelerator,excel_accelerators,진행중,,€100k–€200k for 7–7.5%,,https://seedcamp.com/,,Web2,,Focus: Web2,no,
Sequoia Arc,Sequoia Arc (AI-inclusive seed),accelerator,excel_accelerators,,,,,https://www.sequoiacap.com/arc/,,,,,no,
Soma Capital,Soma Capital,accelerator,excel_accelerators,진행중,,$100k,,https://somacap.com/,,Web2,,Focus: Web2,no,
SOSV,SOSV (Deeptech AI),accelerator,excel_accelerators,,,,,https://sosv.com/portfolio/,,,,,no,
South Park Commons,South Park Commons,accelerator,excel_accelerators,진행중,,$400k for 7% + $600k guaranteed follow-on,,https://www.southparkcommons.com/founder-fellowship,,Web2,,Focus: Web2,no,
South Park Commons,South Park Commons (AI fellowship),accelerator,excel_accelerators,,,,,https://www.southparkcommons.com/founder-fellowship,,,,,no,
SPC Founder Fellowship Spring 2026,SPC Founder Fellowship Spring 2026,accelerator,excel_accelerators,,,"SPC Founder Fellowship Spring 2026
The Founder Fellowship helps entrepreneurs start a high growth, venture-backable startup with targeted support in the -1 to 0 idea phase. Applications close on Feb 1st, 2026 at 11:59pm PT. Applicants who apply before the deadline will hear back about interview invitations no later than March 1st, 2026.

💰 Fellowship teams receive $400k for 7% on a SAFE, along with $600k guaranteed in your next venture round.
🤝 Fellows become members of the SPC community, go through a proprietary program refined to help you validate ideas, and receive 1:1 mentorship from SPC partners in a small cohort.
🚀 You do not need an idea to apply. We do not restrict applications to a particular market or industry.
💡 Your chances of an interview are greater if you receive a nomination. 
🗓️ The next cohort will start at the end of March 2026.",,https://airtable.com/appxDXHfPCZvb75qk/pagOboNVU8MPyDJ8b/form,https://airtable.com/appxDXHfPCZvb75qk/pagOboNVU8MPyDJ8b/form,,,,no,
Stanford Blockchain Accelerator Cohort 8 Application,Stanford Blockchain Accelerator Cohort 8 Application,accelerator,excel_accelerators,25년 마감,,,,https://forms.gle/DBEg8xjgtLiAufE57,https://forms.gle/DBEg8xjgtLiAufE57,Web3,,Focus: Web3 | Result: 다음기회에..,no,
starknet,starknet,accelerator,excel_accelerators,,,,,https://www.starknet.io/grants/growth-grants/,,Web3,,Focus: Web3,no,
Startup Wise Guys,Startup Wise Guys,accelerator,excel_accelerators,진행중,,up to €65k for equity,,https://startupwiseguys.com/,,Web2,,Focus: Web2,no,
Startupbootcamp AI,Startupbootcamp AI,accelerator,excel_accelerators,,,,,https://www.startupbootcamp.org/ai,,,,,no,
StartX,StartX (Stanford AI),accelerator,excel_accelerators,,,,,https://startx.com/portfolio,,,,,no,
TBV,TBV,accelerator,excel_accelerators,추천제출,,,,https://www.tbv.xyz/fund/brent,,,,,no,
Techstars,Techstars,accelerator,excel_accelerators,25년 마감,,$220k for ~5–7%,,https://www.techstars.com/accelerators/anywhere,,Web3,,Focus: Web3,no,
Techstars AI,Techstars AI (Montreal-based),accelerator,excel_accelerators,,,,,https://www.techstars.com/accelerators/ai,,,,,no,
Tenity,Tenity (Fintech AI),accelerator,excel_accelerators,,,,,https://www.tenity.com/portfolio,,,,,no,
The Hive,The Hive (Data/AI),accelerator,excel_accelerators,,,,,https://thehive.ai/portfolio,,,,,no,
The House Fund AI,The House Fund AI Accelerator,accelerator,excel_accelerators,,,,,https://www.thehouse.fund/ai-accelerator,,,,,no,
TinySeed,TinySeed (AI SaaS),accelerator,excel_accelerators,,,,,https://tinyseed.com/portfolio,,,,,no,
Y Combinator,Y Combinator,accelerator,excel_accelerators,진행중,,$500k for ~7%,,https://www.ycombinator.com/,,Web2,,Focus: Web2,no,
Y Combinator,Y Combinator (AI-heavy batches),accelerator,excel_accelerators,,,,,https://www.ycombinator.com/companies,,,,,no,
YZi Labs,YZi Labs,accelerator,excel_accelerators,진행중,2026-01-02,,,https://www.bnbchain.org/en/blog/1b-builder-fund-to-empower-builders-backed-by-yzi-labs-and-bnb-chain,,Web2,,Focus: Web2 | Submission notes: https://docs.google.com/document/d/1SPoawMfEzft4aVxk3STJl7ZzB6XuNrg_4HNMwisv7jY/edit?usp=sharing,no,
